pupID,litter,sex,treatment,weight.challenge,weight,ch.weight,pch.weight,hr.post.challenge,visit,score.overall,score.left,score.right,rights.mobile.overall,rights.shakey.overall,rights.lethargic.overall,rights.nonmobile.overall,ftr.one.side.overall,ftr.mobile.hips.overall,ftr.lethargic.hips.overall,ftr.lethargic.two.visits.overall,ftr.nonmobile.hips.overall,rights.mobile.left,rights.shakey.left,rights.lethargic.left,rights.nonmobile.left,rights.only.left,ftr.mobile.hips.left,ftr.lethargic.hips.left,ftr.lethargic.two.visits.left,ftr.nonmobile.hips.left,rights.mobile.right,rights.shakey.right,rights.lethargic.right,rights.nonmobile.right,rightss.only.right,ftr.mobile.hips.right,ftr.lethargic.hips.right,ftr.lethargic.two.visits.right,ftr.nonmobile.hips.right
F1_G10_2015.12.10,13,F,ch-0.75,3.2,3.02,-0.18,-5.63,18.17,v1,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
F2_G10_2015.12.10,13,F,ch-0.75,3.52,3.31,-0.21,-5.97,18.17,v1,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
F3_G10_2015.12.10,13,M,ch-0.75,3.63,3.44,-0.19,-5.23,18.17,v1,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
F4_G10_2015.12.10,13,F,ch-0.75,3.5,3.63,0.13,3.71,18.17,v1,4,5,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
R1_G10_2015.12.10,13,F,nc,3.52,4.19,0.67,19.03,18.17,v1,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
F1_G10_2015.12.30,6,M,ch-0.75,4.04,3.87,-0.17,-4.21,18,v1,4,7,3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
F2_G10_2015.12.30,6,F,ch-0.75,3.64,3.53,-0.11,-3.02,18,v1,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
F3_G10_2015.12.30,6,M,ch-0.75,3.37,3.22,-0.15,-4.45,18,v1,5,5,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
R1_G10_2015.12.30,6,M,ch-0.75,3.63,3.5,-0.13,-3.58,18,v1,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
R2_G10_2015.12.30,6,F,ch-0.75,3.41,3.24,-0.17,-4.99,18,v1,4,5,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
R3_G10_2015.12.30,6,M,ch-0.75,3.51,3.34,-0.17,-4.84,18,v1,3,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
R4_G10_2015.12.30,6,F,ch-0.75,3.56,3.4,-0.16,-4.49,18,v1,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
F1_G1_2015.12.31,7,F,ch-0.75,3.73,3.62,-0.11,-2.95,18.08,v1,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
F2_G1_2015.12.31,7,M,ch-0.75,3.72,3.63,-0.09,-2.42,18.08,v1,4,5,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
R1_G1_2015.12.31,7,M,ch-0.75,4.05,3.88,-0.17,-4.2,18.08,v1,4,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
R2_G1_2015.12.31,7,F,ch-0.75,3.25,3.17,-0.08,-2.46,18.08,v1,4,7,3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
F1_G2_2016.01.03,8,F,ch-0.75,3.46,3.38,-0.08,-2.31,18,v1,7,7,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
F2_G2_2016.01.03,8,M,ch-0.75,3.69,3.62,-0.07,-1.9,18,v1,4,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
F3_G2_2016.01.03,8,F,ch-0.75,3.63,3.55,-0.08,-2.2,18,v1,4,7,3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
F4_G2_2016.01.03,8,M,ch-0.75,3.77,3.69,-0.08,-2.12,18,v1,7,7,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
R1_G2_2016.01.03,8,M,ch-0.75,3.85,3.74,-0.11,-2.86,18,v1,6,6,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
R2_G2_2016.01.03,8,F,ch-0.75,3.25,3.21,-0.04,-1.23,18,v1,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
R3_G2_2016.01.03,8,M,ch-0.75,3.68,3.6,-0.08,-2.17,18,v1,4,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
F1_G3_2016.01.06,9,F,ch-0.75,3.79,3.6,-0.19,-5.01,17.92,v1,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
F2_G3_2016.01.06,9,F,ch-0.75,3.58,3.5,-0.08,-2.23,17.92,v1,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
F3_G3_2016.01.06,9,M,ch-0.75,3.75,3.65,-0.1,-2.67,17.92,v1,4,3,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
F4_G3_2016.01.06,9,F,ch-0.75,3.43,3.36,-0.07,-2.04,17.92,v1,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
R1_G3_2016.01.06,9,F,ch-0.75,3.54,3.43,-0.11,-3.11,17.92,v1,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
R2_G3_2016.01.06,9,M,ch-0.75,3.15,3.09,-0.06,-1.9,17.92,v1,4,6,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
R3_G3_2016.01.06,9,F,ch-0.75,2.44,2.35,-0.09,-3.69,17.92,v1,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
