pupID #unique identifer for each mouse,litter #unique litter,sex,"treatment #saline and Sauton are both sham treatments, no.vacc means there was no sham, BCG = vaccinated, new.bcg was a different batch of bcg",outcome,challenge.time #day and time mice were challenged,challenge.weight #weight of mice at challenge,v1.hr.post.challenge #hours post challenge at first observation,v1.score #score at first observation,v1.time #day and time of first observation,v1.weight #weight at first observation,v1.ch.weight # absolute weight change from challenge to v1,v1.pch.weight #percent weight change from challenge to v1,v2.hr.post.challenge,v2.score,v2.time,v2.weight,v2.ch.weight,v2.pch.weight,v3.hr.post.challenge,v3.score,v3.time,v3.weight,v3.ch.weight,v3.pch.weight
7.31.2015_F1_M7 (M)_saline_old.0.8,1,M,saline,live,,,14.5,6,,,,,19.16666667,6,,,,,24.5,8,,,,
7.31.2015_F1_M8 (F)_saline_old.0.8,1,F,saline,live,,,14.5,8,,,,,19.16666667,8,,,,,24.5,8,,,,
7.31.2015_F1_M9 (F)_saline_old.0.8,1,F,saline,live,,,14.5,8,,,,,19.16666667,6,,,,,24.5,8,,,,
7.31.2015_G2.F2_M1 (M)_saline_old.1.1,2,M,saline,die,,,14.33333333,6,,,,,19,6,,,,,24.33333333,0,,,,
7.31.2015_G2.F2_M2 (M)_saline_old.1.1,2,M,saline,die,,,14.33333333,6,,,,,19,0,,,,,NA,NA,,,,
7.31.2015_G2.F2_M4 (M)_saline_old.0.8,2,M,saline,die,,,14.33333333,3,,,,,19,3,,,,,24.33333333,0,,,,
7.31.2015_G2.F2_M5 (M)_saline_old.0.8,2,M,saline,die,,,14.33333333,8,,,,,19,8,,,,,24.33333333,0,,,,
7.31.2015_G2.F2_M6 (F)_saline_old.0.8,2,F,saline,die,,,14.33333333,6,,,,,19,6,,,,,24.33333333,0,,,,
2015.08.07_F10_M2 (M)_saline.vacc_old.0.95,3,M,saline,die,2015.08.15 20:40,4.31,12.33333333,6,2015.08.16 09:00,4.33,-0.02,-0.464037123,16.25,2,2015.08.16 12:55,,,,21.28333333,6,2015.08.16 17:57,,,
2015.08.07_F10_M3 (M)_saline.vacc_old.0.95,3,M,saline,die,2015.08.15 20:40,4.8,12.33333333,8,2015.08.16 09:00,4.91,-0.11,-2.291666667,16.25,4,2015.08.16 12:55,,,,21.28333333,4,2015.08.16 17:57,,,
2015.08.07_F10_M4 (F)_saline.vacc_old.0.95,3,F,saline,die,2015.08.15 20:40,5.01,12.33333333,8,2015.08.16 09:00,5.02,-0.01,-0.199600798,16.25,8,2015.08.16 12:55,,,,21.28333333,6,2015.08.16 17:57,,,
2015.08.07_F10_M5 (M)_saline.vacc_old.0.8,3,M,saline,live,2015.08.15 20:40,4.98,12.33333333,6,2015.08.16 09:00,4.88,0.1,2.008032129,16.25,6,2015.08.16 12:55,,,,21.28333333,6,2015.08.16 17:57,,,
2015.08.07_F10_M6 (M)_saline.vacc_old.0.8,3,M,saline,die,2015.08.15 20:40,3.93,12.33333333,8,2015.08.16 09:00,3.97,-0.04,-1.017811705,16.25,6,2015.08.16 12:55,,,,21.28333333,4,2015.08.16 17:57,,,
2015.08.07_F10_M7 (M)_saline.vacc_old.0.8,3,M,saline,live,2015.08.15 20:40,4.28,12.33333333,8,2015.08.16 09:00,4.34,-0.06,-1.401869159,16.25,6,2015.08.16 12:55,,,,21.28333333,8,2015.08.16 17:57,,,
2015.08.07_F10_M8 (F)_saline.vacc_old.0.8,3,F,saline,die,2015.08.15 20:40,4.38,12.33333333,8,2015.08.16 09:00,4.51,-0.13,-2.96803653,16.25,6,2015.08.16 12:55,,,,21.28333333,6,2015.08.16 17:57,,,
