pupID #unique identifer for each mouse,litter #unique litter,sex,outcome,challenge.time #day and time mice were challenged,challenge.weight #weight of mice at challenge,v1.hr.post.challenge #hours post challenge at first observation,v1.score #score at first observation,v1.time #day and time of first observation,v1.weight #weight at first observation,v1.ch.weight # absolute weight change from challenge to v1,v1.pch.weight #percent weight change from challenge to v1,v2.hr.post.challenge,v2.score,v2.time,v2.weight,v2.ch.weight,v2.pch.weight,v3.hr.post.challenge,v3.score,v3.time,v3.weight,v3.ch.weight,v3.pch.weight,v4.hr.post.challenge,v4.score,v4.time,v4.weight,v4.ch.weight,v4.pch.weight,v5.hr.post.challenge,v5.score,v5.time,v5.weight,v5.ch.weight,v5.pch.weight,v6.hr.post.challenge,v6.score,v6.time,v6.weight,v6.ch.weight,v6.pch.weight,v7.hr.post.challenge,v7.score,v7.time,v7.weight,v7.ch.weight,v7.pch.weight,v8.hr.post.challenge,v8.score,v8.time,v8.weight,v8.ch.weight,v8.pch.weight,v9.hr.post.challenge,v9.score,v9.time,v9.weight,v9.ch.weight,v9.pch.weight,v10.hr.post.challenge,v10.score,v10.time,v10.weight,v10.ch.weight,v10.pch.weight,v11.hr.post.challenge,v11.score,v11.time,v11.weight,v11.ch.weight,v11.pch.weight,v12.hr.post.challenge,v12.score
7.31.2015_F1_M7 (M)_saline_old.0.8,1,M,live,,,14.5,6,,,,,19.16666667,6,,,,,24.5,8,,,,,29,8,,,,,46.5,8,,,,,96,8,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN
7.31.2015_F1_M8 (F)_saline_old.0.8,1,F,live,,,14.5,8,,,,,19.16666667,8,,,,,24.5,8,,,,,29,8,,,,,46.5,8,,,,,96,8,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN
7.31.2015_F1_M9 (F)_saline_old.0.8,1,F,live,,,14.5,8,,,,,19.16666667,6,,,,,24.5,8,,,,,29,8,,,,,46.5,8,,,,,96,8,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN
7.31.2015_G2.F2_M1 (M)_saline_old.1.1,2,M,die,,,14.33333333,6,,,,,19,6,,,,,24.33333333,0,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN
7.31.2015_G2.F2_M2 (M)_saline_old.1.1,2,M,die,,,14.33333333,6,,,,,19,0,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN
7.31.2015_G2.F2_M4 (M)_saline_old.0.8,2,M,die,,,14.33333333,3,,,,,19,3,,,,,24.33333333,0,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN
7.31.2015_G2.F2_M5 (M)_saline_old.0.8,2,M,die,,,14.33333333,8,,,,,19,8,,,,,24.33333333,0,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN
7.31.2015_G2.F2_M6 (F)_saline_old.0.8,2,F,die,,,14.33333333,6,,,,,19,6,,,,,24.33333333,0,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN
2015.08.07_F10_M2 (M)_saline.vacc_old.0.95,3,M,die,2015.08.15 20:40,4.31,12.33333333,6,2015.08.16 09:00,4.33,-0.02,-0.464037123,16.25,2,2015.08.16 12:55,,,,21.28333333,6,2015.08.16 17:57,,,,26.16666667,1,2015.08.16 22:50,4.05,-0.26,-6.032482599,35.15,0,2015.08.17 07:49,3.56,-0.75,-17.40139211,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN
2015.08.07_F10_M3 (M)_saline.vacc_old.0.95,3,M,die,2015.08.15 20:40,4.8,12.33333333,8,2015.08.16 09:00,4.91,-0.11,-2.291666667,16.25,4,2015.08.16 12:55,,,,21.28333333,4,2015.08.16 17:57,,,,26.16666667,4,2015.08.16 22:50,4.46,-0.34,-7.083333333,35.15,0,2015.08.17 07:49,4.24,-0.56,-11.66666667,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN
2015.08.07_F10_M4 (F)_saline.vacc_old.0.95,3,F,die,2015.08.15 20:40,5.01,12.33333333,8,2015.08.16 09:00,5.02,-0.01,-0.199600798,16.25,8,2015.08.16 12:55,,,,21.28333333,6,2015.08.16 17:57,,,,26.16666667,0,2015.08.16 22:50,4.6,-0.41,-8.183632735,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN
2015.08.07_F10_M5 (M)_saline.vacc_old.0.8,3,M,live,2015.08.15 20:40,4.98,12.33333333,6,2015.08.16 09:00,4.88,0.1,2.008032129,16.25,6,2015.08.16 12:55,,,,21.28333333,6,2015.08.16 17:57,,,,26.16666667,6,2015.08.16 22:50,4.61,-0.37,-7.429718876,35.15,8,2015.08.17 07:49,4.73,-0.25,-5.020080321,40.41666667,6,2015.08.17 13:05,,,,44.75,6,2015.08.17 17:25,,,,49.33333333,8,2015.08.17 22:00,5.26,0.28,5.62248996,66.16666667,8,2015.08.18 14:50,5.51,0.53,10.64257028,96,8,,,,,NaN,NaN,,,,,NaN,NaN
2015.08.07_F10_M6 (M)_saline.vacc_old.0.8,3,M,die,2015.08.15 20:40,3.93,12.33333333,8,2015.08.16 09:00,3.97,-0.04,-1.017811705,16.25,6,2015.08.16 12:55,,,,21.28333333,4,2015.08.16 17:57,,,,26.16666667,6,2015.08.16 22:50,3.7,-0.23,-5.852417303,35.15,4,2015.08.17 07:49,3.56,-0.37,-9.41475827,40.41666667,0,2015.08.17 13:05,3.5,-0.43,-10.94147583,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN
