pupID #unique identifer for each mouse,litter #unique litter,sex,"treatment #saline and Sauton are both sham treatments, no.vacc means there was no sham, BCG and new.BCG were vaccinated. New.bcg was a different batch of bcg",outcome,challenge.time #day and time mice were challenged,challenge.weight #weight of mice at challenge,hr.post.challenge ,score,time,weight,ch.weight # absolute weight change from challenge to visit,pch.weight #percent weight change from challenge to visit
7.31.2015_F1_M7 (M)_saline_old.0.8,1,M,saline,live,,,14.5,6,,,,
7.31.2015_F1_M8 (F)_saline_old.0.8,1,F,saline,live,,,14.5,8,,,,
7.31.2015_F1_M9 (F)_saline_old.0.8,1,F,saline,live,,,14.5,8,,,,
7.31.2015_G2.F2_M1 (M)_saline_old.1.1,2,M,saline,die,,,14.33333333,6,,,,
7.31.2015_G2.F2_M2 (M)_saline_old.1.1,2,M,saline,die,,,14.33333333,6,,,,
7.31.2015_G2.F2_M4 (M)_saline_old.0.8,2,M,saline,die,,,14.33333333,3,,,,
7.31.2015_G2.F2_M5 (M)_saline_old.0.8,2,M,saline,die,,,14.33333333,8,,,,
7.31.2015_G2.F2_M6 (F)_saline_old.0.8,2,F,saline,die,,,14.33333333,6,,,,
2015.08.07_F10_M2 (M)_saline.vacc_old.0.95,3,M,saline,die,2015.08.15 20:40,4.31,12.33333333,6,2015.08.16 09:00,4.33,-0.02,-0.464037123
2015.08.07_F10_M3 (M)_saline.vacc_old.0.95,3,M,saline,die,2015.08.15 20:40,4.8,12.33333333,8,2015.08.16 09:00,4.91,-0.11,-2.291666667
2015.08.07_F10_M4 (F)_saline.vacc_old.0.95,3,F,saline,die,2015.08.15 20:40,5.01,12.33333333,8,2015.08.16 09:00,5.02,-0.01,-0.199600798
2015.08.07_F10_M5 (M)_saline.vacc_old.0.8,3,M,saline,live,2015.08.15 20:40,4.98,12.33333333,6,2015.08.16 09:00,4.88,0.1,2.008032129
2015.08.07_F10_M6 (M)_saline.vacc_old.0.8,3,M,saline,die,2015.08.15 20:40,3.93,12.33333333,8,2015.08.16 09:00,3.97,-0.04,-1.017811705
2015.08.07_F10_M7 (M)_saline.vacc_old.0.8,3,M,saline,live,2015.08.15 20:40,4.28,12.33333333,8,2015.08.16 09:00,4.34,-0.06,-1.401869159
2015.08.07_F10_M8 (F)_saline.vacc_old.0.8,3,F,saline,die,2015.08.15 20:40,4.38,12.33333333,8,2015.08.16 09:00,4.51,-0.13,-2.96803653
2015.08.07_F6_M1 (M)_saline.vacc_old.0.95,4,M,saline,live,2015.08.15 19:55,4.2,12.76666667,2,2015.08.16 08:41,4.18,0.02,0.476190476
2015.08.07_F6_M2 (M)_saline.vacc_old.0.95,4,M,saline,live,2015.08.15 19:55,4.29,12.76666667,6,2015.08.16 08:41,4.19,0.1,2.331002331
2015.08.07_F6_M3 (F)_saline.vacc_old.0.95,4,F,saline,live,2015.08.15 19:55,4.9,12.76666667,3,2015.08.16 08:41,4.8,0.1,2.040816327
2015.08.07_F6_M4 (M)_saline.vacc_old.0.8,4,M,saline,live,2015.08.15 19:55,4.81,12.76666667,6,2015.08.16 08:41,4.64,0.17,3.534303534
2015.08.07_F6_M5 (M)_saline.vacc_old.0.8,4,M,saline,live,2015.08.15 19:55,5.15,12.76666667,6,2015.08.16 08:41,5.08,0.07,1.359223301
2015.08.07_F6_M6 (F)_saline.vacc_old.0.8,4,F,saline,live,2015.08.15 19:55,4.99,12.76666667,6,2015.08.16 08:41,4.88,0.11,2.204408818
2015.08.07_F6_M7 (F)_saline.vacc_old.0.8,4,F,saline,live,2015.08.15 19:55,4.89,12.76666667,3,2015.08.16 08:41,4.74,0.15,3.067484663
2015.08.07_F8_M1 (M)_saline.vacc_old.0.95,5,M,saline,live,2015.08.15 20:22,5.6,12.55,6,2015.08.16 08:55,5.49,0.11,1.964285714
2015.08.07_F8_M2 (M)_saline.vacc_old.0.95,5,M,saline,die,2015.08.15 20:22,5.58,12.55,3,2015.08.16 08:55,5.55,0.03,0.537634409
2015.08.07_F8_M3 (F)_saline.vacc_old.0.95,5,F,saline,die,2015.08.15 20:22,5.19,12.55,6,2015.08.16 08:55,5.19,0,0
2015.08.07_F8_M4 (M)_saline.vacc_old.0.8,5,M,saline,live,2015.08.15 20:22,5.53,12.55,3,2015.08.16 08:55,5.45,0.08,1.446654611
2015.08.07_F8_M6 (F)_saline.vacc_old.0.8,5,F,saline,live,2015.08.15 20:22,4.83,12.55,3,2015.08.16 08:55,4.71,0.12,2.48447205
2015.08.07_F8_M7 (F)_saline.vacc_old.0.8,5,F,saline,live,2015.08.15 20:22,5.46,12.55,3,2015.08.16 08:55,5.34,0.12,2.197802198
2015.08.20_G1_M2 (M)_saline.vacc_old.0.95,6,M,saline,die,2015.08.28 18:25,4.76,13.33333333,2,2015.08.29 07:45,4.75,0.01,0.210084034
2015.08.20_G1_M3 (M)_saline.vacc_old.0.95,6,M,saline,die,2015.08.28 18:25,4.54,13.33333333,6,2015.08.29 07:45,4.55,-0.01,-0.220264317
2015.08.20_G1_M4 (F)_saline.vacc_old.0.95,6,F,saline,live,2015.08.28 18:25,4.54,13.33333333,6,2015.08.29 07:45,4.5,0.04,0.881057269
