,pupID,outcome,age.challenge,sex,chal.time,litterID,chal.status,weight.challenge,dob.pups,v18.hour.post.challenge,v18.weight,v18.energy.high,v18.energy.low,v18.righting.response.high,v18.righting.response.low,v24.hour.post.challenge,v24.weight,v24.energy.high,v24.energy.low,v24.righting.response.high,v24.righting.response.low,weight.change.0.24,weight.change.0.18,weight.change.18.24,direction.of.weight.change.18.24,change.righting.high,change.righting.low,removed
1,F2.m.G1.2015-08-20,die,8,m,7:34 PM,G1.2015-08-20,challenged,4.76,8/20/15,16.93,4.625,mobile,mobile,ftr,ftr,23.93,4.5,lethargic,lethargic,rights,rights,-0.26,-0.135,-0.125,lose,ftr.to.rights,ftr.to.rights,keep
2,F3.m.G1.2015-08-20,die,8,m,7:34 PM,G1.2015-08-20,challenged,4.54,8/20/15,16.93,4.435,lethargic,lethargic,rights,rights,23.93,4.32,lethargic,non mobile,ftr,ftr,-0.22,-0.105,-0.115,lose,rights.to.ftr,rights.to.ftr,keep
3,F4.f.G1.2015-08-20,live,8,f,7:34 PM,G1.2015-08-20,challenged,4.54,8/20/15,16.93,4.37,lethargic,mobile,rights,ftr,23.93,4.24,mobile,mobile,rights,rights,-0.3,-0.17,-0.13,lose,rights.to.rights,ftr.to.rights,keep
4,F1.m.F3.2015-08-27,live,9,m,8:00 PM,F3.2015-08-27,challenged,5.91,8/27/15,16.33,5.805,lethargic,lethargic,rights,rights,21.5,5.71,mobile,mobile,rights,rights,-0.2,-0.105,-0.095,lose,rights.to.rights,rights.to.rights,remove
5,F2.f.F3.2015-08-27,live,9,f,8:00 PM,F3.2015-08-27,challenged,6.06,8/27/15,16.33,5.64,lethargic,lethargic,rights,rights,21.5,5.39,mobile,mobile,rights,rights,-0.67,-0.42,-0.25,lose,rights.to.rights,rights.to.rights,remove
6,R1.m.F2.2015-08-29,die,7,m,8:00 PM,F2.2015-08-29,challenged,5.69,8/29/15,15.33,5.59,lethargic,lethargic,rights,rights,21.5,5.47,lethargic,lethargic,rights,ftr,-0.22,-0.1,-0.12,lose,rights.to.rights,rights.to.ftr,remove
7,R2.f.F1.2015-08-29,die,7,f,8:00 PM,F1.2015-08-29,challenged,3.8,8/29/15,16.25,3.78,lethargic,lethargic,ftr,ftr,21.5,3.7,non mobile,non mobile,ftr,ftr,-0.1,-0.02,-0.08,lose,ftr.to.ftr,ftr.to.ftr,keep
8,R3.f.F1.2015-08-29,live,7,f,8:00 PM,F1.2015-08-29,challenged,3.54,8/29/15,16.25,3.475,mobile,mobile,ftr,ftr,21.5,3.4,lethargic,lethargic,rights,rights,-0.14,-0.065,-0.075,lose,ftr.to.rights,ftr.to.rights,keep
9,F1.f.G2.2015-09-05,die,8,f,8:10 PM,G2.2015-09-05,challenged,4.9,9/5/15,20,4.525,lethargic,mobile,rights,ftr,27.33,4.44,non mobile,non mobile,ftr,ftr,-0.46,-0.375,-0.085,lose,rights.to.ftr,ftr.to.ftr,keep
10,F2.m.G2.2015-09-05,die,8,m,8:10 PM,G2.2015-09-05,challenged,5.2,9/5/15,20,4.875,lethargic,lethargic,rights,rights,27.33,4.78,non mobile,non mobile,ftr,ftr,-0.42,-0.325,-0.095,lose,rights.to.ftr,rights.to.ftr,keep
11,F3.f.G2.2015-09-05,die,8,f,8:10 PM,G2.2015-09-05,challenged,5.12,9/5/15,20,4.67,mobile,mobile,rights,rights,27.33,4.59,non mobile,non mobile,ftr,ftr,-0.53,-0.45,-0.08,lose,rights.to.ftr,rights.to.ftr,keep
12,F4.m.G2.2015-09-05,die,8,m,8:10 PM,G2.2015-09-05,challenged,4.68,9/5/15,20,4.405,lethargic,lethargic,rights,rights,27.33,4.25,lethargic,lethargic,ftr,ftr,-0.43,-0.275,-0.155,lose,rights.to.ftr,rights.to.ftr,keep
13,F1.m.G2.2015-10-07,die,8,m,6:25 PM,G2.2015-10-07,challenged,3.72,10/7/15,18.17,3.635,lethargic,lethargic,rights,rights,23.92,3.56,non mobile,non mobile,rights,rights,-0.16,-0.085,-0.075,lose,rights.to.rights,rights.to.rights,remove
14,F2.m.G2.2015-10-07,die,8,m,6:25 PM,G2.2015-10-07,challenged,3.93,10/7/15,18.17,3.82,non mobile,mobile,rights,ftr,23.92,3.7,non mobile,lethargic,rights,ftr,-0.23,-0.11,-0.12,lose,rights.to.rights,ftr.to.ftr,remove
15,F3.f.G2.2015-10-07,die,8,f,6:25 PM,G2.2015-10-07,challenged,3.1,10/7/15,18.17,3.12,lethargic,lethargic,rights,ftr,23.92,3.05,non mobile,lethargic,rights,ftr,-0.05,0.02,-0.07,lose,rights.to.rights,ftr.to.ftr,remove
16,F4.f.G2.2015-10-07,die,8,f,6:25 PM,G2.2015-10-07,challenged,3.67,10/7/15,18.17,3.555,lethargic,lethargic,rights,rights,23.92,3.46,lethargic,lethargic,rights,rights,-0.21,-0.115,-0.095,lose,rights.to.rights,rights.to.rights,remove
17,R1.f.G2.2015-10-07,die,8,f,6:25 PM,G2.2015-10-07,challenged,3.7,10/7/15,18.17,3.59,non mobile,mobile,rights,ftr,23.92,3.5,mobile,mobile,rights,rights,-0.2,-0.11,-0.09,lose,rights.to.rights,ftr.to.rights,keep
18,R2.m.G2.2015-10-07,die,8,m,6:25 PM,G2.2015-10-07,challenged,3.89,10/7/15,18.17,3.855,non mobile,mobile,rights,ftr,23.92,3.71,non mobile,non mobile,rights,rights,-0.18,-0.035,-0.145,lose,rights.to.rights,ftr.to.rights,keep
19,R3.f.G2.2015-10-07,live,8,f,6:25 PM,G2.2015-10-07,challenged,4.24,10/7/15,18.17,3.99,non mobile,mobile,rights,ftr,23.92,3.87,mobile,mobile,rights,rights,-0.37,-0.25,-0.12,lose,rights.to.rights,ftr.to.rights,keep
20,R4.m.G2.2015-10-07,die,8,m,6:25 PM,G2.2015-10-07,challenged,4.02,10/7/15,18.17,3.975,mobile,mobile,ftr,ftr,23.92,3.87,mobile,mobile,rights,rights,-0.15,-0.045,-0.105,lose,ftr.to.rights,ftr.to.rights,keep
21,F2.m.G3.2015-10-08,live,7,m,6:50 PM,G3.2015-10-08,challenged,3.26,10/8/15,17.92,3.24,lethargic,lethargic,rights,rights,23.5,3.27,non mobile,non mobile,rights,rights,0.01,-0.02,0.03,gain,rights.to.rights,rights.to.rights,keep
22,F3.f.G3.2015-10-08,live,7,f,6:50 PM,G3.2015-10-08,challenged,3.63,10/8/15,17.92,3.58,mobile,mobile,ftr,ftr,23.5,3.48,mobile,mobile,rights,ftr,-0.15,-0.05,-0.1,lose,ftr.to.rights,ftr.to.ftr,keep
23,F4.m.G3.2015-10-08,die,7,m,6:50 PM,G3.2015-10-08,challenged,3.22,10/8/15,17.92,3.14,non mobile,non mobile,rights,rights,23.5,3.05,non mobile,non mobile,rights,rights,-0.17,-0.08,-0.09,lose,rights.to.rights,rights.to.rights,keep
24,F5.f.G3.2015-10-08,die,7,f,6:50 PM,G3.2015-10-08,challenged,3.32,10/8/15,17.92,3.27,mobile,mobile,ftr,ftr,23.5,3.17,non mobile,lethargic,rights,ftr,-0.15,-0.05,-0.1,lose,ftr.to.rights,ftr.to.ftr,keep
25,R1.f.G3.2015-10-08,live,7,f,6:50 PM,G3.2015-10-08,challenged,2.51,10/8/15,17.92,2.47,non mobile,non mobile,rights,rights,23.5,2.51,lethargic,lethargic,rights,rights,0,-0.04,0.04,gain,rights.to.rights,rights.to.rights,remove
26,R2.f.G3.2015-10-08,die,7,f,6:50 PM,G3.2015-10-08,challenged,3.05,10/8/15,17.92,3.155,mobile,mobile,ftr,ftr,23.5,3.08,lethargic,lethargic,ftr,ftr,0.03,0.105,-0.075,lose,ftr.to.ftr,ftr.to.ftr,remove
27,R3.m.G3.2015-10-08,die,7,m,6:50 PM,G3.2015-10-08,challenged,3.34,10/8/15,17.92,3.535,lethargic,lethargic,rights,rights,23.5,3.48,non mobile,mobile,rights,ftr,0.14,0.195,-0.055,lose,rights.to.rights,rights.to.ftr,remove
28,R4.f.G3.2015-10-08,die,7,f,6:50 PM,G3.2015-10-08,challenged,3.05,10/8/15,17.92,3.035,non mobile,mobile,rights,ftr,23.5,2.98,lethargic,lethargic,ftr,ftr,-0.07,-0.015,-0.055,lose,rights.to.ftr,ftr.to.ftr,remove
29,R5.m.G3.2015-10-08,die,7,m,6:50 PM,G3.2015-10-08,challenged,3.35,10/8/15,17.92,3.34,mobile,mobile,ftr,ftr,23.5,3.26,lethargic,lethargic,ftr,ftr,-0.09,-0.01,-0.08,lose,ftr.to.ftr,ftr.to.ftr,remove
30,F1.f.G4.2015-10-10,live,7,f,6:55 PM,G4.2015-10-10,challenged,4.09,10/10/15,18.33,3.98,lethargic,mobile,rights,ftr,24.17,3.77,non mobile,non mobile,rights,rights,-0.32,-0.11,-0.21,lose,rights.to.rights,ftr.to.rights,keep
31,F1.f.G5.2015-10-10,live,7,f,7:20 PM,G5.2015-10-10,challenged,3.77,10/10/15,18.17,3.66,mobile,mobile,rights,ftr,24.08,3.52,mobile,mobile,rights,rights,-0.25,-0.11,-0.14,lose,rights.to.rights,ftr.to.rights,keep
32,F2.m.G5.2015-10-10,live,7,m,7:20 PM,G5.2015-10-10,challenged,4.2,10/10/15,18.17,4.24,mobile,mobile,rights,rights,24.08,4.44,mobile,mobile,rights,rights,0.24,0.04,0.2,gain,rights.to.rights,rights.to.rights,keep
33,F3.f.G4.2015-10-10,die,7,f,6:55 PM,G4.2015-10-10,challenged,3.46,10/10/15,18.33,3.31,lethargic,lethargic,ftr,ftr,24.17,3.23,non mobile,lethargic,rights,ftr,-0.23,-0.15,-0.08,lose,ftr.to.rights,ftr.to.ftr,keep
34,F3.f.G5.2015-10-10,live,7,f,7:20 PM,G5.2015-10-10,challenged,3.83,10/10/15,18.17,3.66,lethargic,lethargic,ftr,ftr,24.08,3.56,non mobile,non mobile,rights,rights,-0.27,-0.17,-0.1,lose,ftr.to.rights,ftr.to.rights,keep
35,F4.m.G4.2015-10-10,die,7,m,6:55 PM,G4.2015-10-10,challenged,3.98,10/10/15,18.33,3.81,mobile,mobile,ftr,ftr,24.17,3.66,non mobile,non mobile,rights,rights,-0.32,-0.17,-0.15,lose,ftr.to.rights,ftr.to.rights,keep
