"","pupID","outcome","age.challenge","sex","chal.time","litterID","chal.status","weight.challenge","dob.pups","v18.hour.post.challenge","v24.hour.post.challenge","v24.weight","weight.change.0.24","weight.change.0.18","weight.change.18.24","direction.of.weight.change.18.24","v18.score.high","v18.score.low","v24.score.high","v24.score.low","change.score.high","change.score.low","removed"
"1","F2.m.G1.2015-08-20","die",8,"m","7:34:00 PM","G1.2015-08-20","challenged",4.76,"8/20/2015",16.93,23.93,4.5,-0.26,-0.135,-0.125,"lose",3,3,6,6,3,3,"keep"
"2","F3.m.G1.2015-08-20","die",8,"m","7:34:00 PM","G1.2015-08-20","challenged",4.54,"8/20/2015",16.93,23.93,4.32,-0.22,-0.105,-0.115,"lose",6,6,2,0,-4,-6,"keep"
"3","F4.f.G1.2015-08-20","live",8,"f","7:34:00 PM","G1.2015-08-20","challenged",4.54,"8/20/2015",16.93,23.93,4.24,-0.3,-0.17,-0.13,"lose",6,3,8,8,2,5,"keep"
"4","F1.m.F3.2015-08-27","live",9,"m","8:00:00 PM","F3.2015-08-27","challenged",5.91,"8/27/2015",16.33,21.5,5.71,-0.2,-0.105,-0.0949999999999998,"lose",6,6,8,8,2,2,"remove"
"5","F2.f.F3.2015-08-27","live",9,"f","8:00:00 PM","F3.2015-08-27","challenged",6.06,"8/27/2015",16.33,21.5,5.39,-0.67,-0.42,-0.25,"lose",6,6,8,8,2,2,"remove"
"6","R1.m.F2.2015-08-29","die",7,"m","8:00:00 PM","F2.2015-08-29","challenged",5.69,"8/29/2015",15.33,21.5,5.47,-0.220000000000001,-0.100000000000001,-0.12,"lose",6,6,6,2,0,-4,"remove"
"7","R2.f.F1.2015-08-29","die",7,"f","8:00:00 PM","F1.2015-08-29","challenged",3.8,"8/29/2015",16.25,21.5,3.7,-0.0999999999999996,-0.0199999999999996,-0.0800000000000001,"lose",2,2,0,0,-2,-2,"keep"
"8","R3.f.F1.2015-08-29","live",7,"f","8:00:00 PM","F1.2015-08-29","challenged",3.54,"8/29/2015",16.25,21.5,3.4,-0.14,-0.0650000000000004,-0.0749999999999997,"lose",3,3,6,6,3,3,"keep"
"9","F1.f.G2.2015-09-05","die",8,"f","8:10:00 PM","G2.2015-09-05","challenged",4.9,"9/5/2015",20,27.33,4.44,-0.46,-0.375,-0.085,"lose",6,3,0,0,-6,-3,"keep"
"10","F2.m.G2.2015-09-05","die",8,"m","8:10:00 PM","G2.2015-09-05","challenged",5.2,"9/5/2015",20,27.33,4.78,-0.42,-0.325,-0.0949999999999998,"lose",6,6,0,0,-6,-6,"keep"
"11","F3.f.G2.2015-09-05","die",8,"f","8:10:00 PM","G2.2015-09-05","challenged",5.12,"9/5/2015",20,27.33,4.59,-0.53,-0.45,-0.0800000000000001,"lose",7,7,0,0,-7,-7,"keep"
"12","F4.m.G2.2015-09-05","die",8,"m","8:10:00 PM","G2.2015-09-05","challenged",4.68,"9/5/2015",20,27.33,4.25,-0.43,-0.275,-0.154999999999999,"lose",6,6,2,2,-4,-4,"keep"
"13","F1.m.G2.2015-10-07","die",8,"m","6:25:00 PM","G2.2015-10-07","challenged",3.72,"10/7/2015",18.17,23.92,3.56,-0.16,-0.0850000000000004,-0.0749999999999997,"lose",6,6,5,5,-1,-1,"remove"
"14","F2.m.G2.2015-10-07","die",8,"m","6:25:00 PM","G2.2015-10-07","challenged",3.93,"10/7/2015",18.17,23.92,3.7,-0.23,-0.11,-0.12,"lose",5,3,5,2,0,-1,"remove"
"15","F3.f.G2.2015-10-07","die",8,"f","6:25:00 PM","G2.2015-10-07","challenged",3.1,"10/7/2015",18.17,23.92,3.05,-0.0500000000000003,0.02,-0.0700000000000003,"lose",6,2,5,2,-1,0,"remove"
"16","F4.f.G2.2015-10-07","die",8,"f","6:25:00 PM","G2.2015-10-07","challenged",3.67,"10/7/2015",18.17,23.92,3.46,-0.21,-0.115,-0.0949999999999998,"lose",6,6,6,6,0,0,"remove"
"17","R1.f.G2.2015-10-07","die",8,"f","6:25:00 PM","G2.2015-10-07","challenged",3.7,"10/7/2015",18.17,23.92,3.5,-0.2,-0.11,-0.0899999999999999,"lose",5,3,7,7,2,4,"keep"
"18","R2.m.G2.2015-10-07","die",8,"m","6:25:00 PM","G2.2015-10-07","challenged",3.89,"10/7/2015",18.17,23.92,3.71,-0.18,-0.0350000000000001,-0.145,"lose",5,3,5,5,0,2,"keep"
"19","R3.f.G2.2015-10-07","live",8,"f","6:25:00 PM","G2.2015-10-07","challenged",4.24,"10/7/2015",18.17,23.92,3.87,-0.37,-0.25,-0.12,"lose",5,3,7,7,2,4,"keep"
"20","R4.m.G2.2015-10-07","die",8,"m","6:25:00 PM","G2.2015-10-07","challenged",4.02,"10/7/2015",18.17,23.92,3.87,-0.149999999999999,-0.0449999999999995,-0.105,"lose",3,3,7,7,4,4,"keep"
"21","F2.m.G3.2015-10-08","live",7,"m","6:50:00 PM","G3.2015-10-08","challenged",3.26,"10/8/2015",17.92,23.5,3.27,0.0100000000000002,-0.0199999999999996,0.0299999999999998,"gain",6,6,5,5,-1,-1,"keep"
"22","F3.f.G3.2015-10-08","live",7,"f","6:50:00 PM","G3.2015-10-08","challenged",3.63,"10/8/2015",17.92,23.5,3.48,-0.15,-0.0499999999999998,-0.1,"lose",3,3,7,3,4,0,"keep"
"23","F4.m.G3.2015-10-08","die",7,"m","6:50:00 PM","G3.2015-10-08","challenged",3.22,"10/8/2015",17.92,23.5,3.05,-0.17,-0.0800000000000005,-0.0899999999999999,"lose",5,5,5,5,0,0,"keep"
"24","F5.f.G3.2015-10-08","die",7,"f","6:50:00 PM","G3.2015-10-08","challenged",3.32,"10/8/2015",17.92,23.5,3.17,-0.15,-0.0499999999999998,-0.1,"lose",3,3,5,2,2,-1,"keep"
"25","R1.f.G3.2015-10-08","live",7,"f","6:50:00 PM","G3.2015-10-08","challenged",2.51,"10/8/2015",17.92,23.5,2.51,0,-0.04,0.04,"gain",5,5,6,6,1,1,"remove"
"26","R2.f.G3.2015-10-08","die",7,"f","6:50:00 PM","G3.2015-10-08","challenged",3.05,"10/8/2015",17.92,23.5,3.08,0.0300000000000002,0.105,-0.0750000000000002,"lose",3,3,2,2,-1,-1,"remove"
"27","R3.m.G3.2015-10-08","die",7,"m","6:50:00 PM","G3.2015-10-08","challenged",3.34,"10/8/2015",17.92,23.5,3.48,0.14,0.195,-0.0550000000000002,"lose",6,6,5,3,-1,-3,"remove"
"28","R4.f.G3.2015-10-08","die",7,"f","6:50:00 PM","G3.2015-10-08","challenged",3.05,"10/8/2015",17.92,23.5,2.98,-0.0699999999999998,-0.0149999999999997,-0.0550000000000002,"lose",5,3,2,2,-3,-1,"remove"
"29","R5.m.G3.2015-10-08","die",7,"m","6:50:00 PM","G3.2015-10-08","challenged",3.35,"10/8/2015",17.92,23.5,3.26,-0.0900000000000003,-0.0100000000000002,-0.0800000000000001,"lose",3,3,2,2,-1,-1,"remove"
"30","F1.f.G4.2015-10-10","live",7,"f","6:55:00 PM","G4.2015-10-10","challenged",4.09,"10/10/2015",18.33,24.17,3.77,-0.32,-0.11,-0.21,"lose",6,3,5,5,-1,2,"keep"
"31","F1.f.G5.2015-10-10","live",7,"f","7:20:00 PM","G5.2015-10-10","challenged",3.77,"10/10/2015",18.17,24.08,3.52,-0.25,-0.11,-0.14,"lose",7,3,7,7,0,4,"keep"
"32","F2.m.G5.2015-10-10","live",7,"m","7:20:00 PM","G5.2015-10-10","challenged",4.2,"10/10/2015",18.17,24.08,4.44,0.24,0.04,0.2,"gain",8,8,8,8,0,0,"keep"
"33","F3.f.G4.2015-10-10","die",7,"f","6:55:00 PM","G4.2015-10-10","challenged",3.46,"10/10/2015",18.33,24.17,3.23,-0.23,-0.15,-0.0800000000000001,"lose",2,2,5,2,3,0,"keep"
"34","F3.f.G5.2015-10-10","live",7,"f","7:20:00 PM","G5.2015-10-10","challenged",3.83,"10/10/2015",18.17,24.08,3.56,-0.27,-0.17,-0.1,"lose",2,2,5,5,3,3,"keep"
"35","F4.m.G4.2015-10-10","die",7,"m","6:55:00 PM","G4.2015-10-10","challenged",3.98,"10/10/2015",18.33,24.17,3.66,-0.32,-0.17,-0.15,"lose",3,3,5,5,2,2,"keep"
"36","F4.m.G5.2015-10-10","live",7,"m","7:20:00 PM","G5.2015-10-10","challenged",3.76,"10/10/2015",18.17,24.08,3.52,-0.24,-0.13,-0.11,"lose",5,5,6,6,1,1,"keep"
