pupID,litter,sex,treatment,outcome,challenge.time,weight.challenge,weight,ch.weight,pch.weight,time,hr.post.challenge ,visit,score.overall,score.left,score.right,rights.mobile.overall,rights.shakey.overall,rights.lethargic.overall,rights.nonmobile.overall,ftr.one.side.overall,ftr.mobile.hips.over,ftr.lethargic.hips.overall,ftr.lethargic.two.visits.overall,ftr.nonmobile.hips.overall,rights.mobile.left,rights.shakey.left,rights.lethargic.left,rights.nonmobile.left,rights.only.left,ftr.mobile.hips.left,ftr.lethargic.hips.left,ftr.lethargic.two.visits.left,ftr.nonmobile.hips.left,rights.mobile.right,rights.shakey.right,rights.lethargic.right,rights.nonmobile.right,rightss.only.right,ftr.mobile.hips.right,ftr.lethargic.hips.right,ftr.lethargic.two.visits.right,ftr.nonmobile.hips.right,obs.found.dead,observations
2015.07.31_F1_M7 (M)_saline_old.0.8,1,M,saline,live,,,,,,,14.5,v1,6,,,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,
2015.07.31_F1_M8 (F)_saline_old.0.8,1,F,saline,live,,,,,,,14.5,v1,8,,,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,
2015.07.31_F1_M9 (F)_saline_old.0.8,1,F,saline,live,,,,,,,14.5,v1,8,,,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,
2015.07.31_G2.F2_M1 (M)_saline_old.1.1,2,M,saline,die,,,,,,,14.33333333,v1,6,,,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,
2015.07.31_G2.F2_M2 (M)_saline_old.1.1,2,M,saline,die,,,,,,,14.33333333,v1,6,,,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,
2015.07.31_G2.F2_M4 (M)_saline_old.0.8,2,M,saline,die,,,,,,,14.33333333,v1,3,,,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,0,
2015.07.31_G2.F2_M5 (M)_saline_old.0.8,2,M,saline,die,,,,,,,14.33333333,v1,8,,,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,
2015.07.31_G2.F2_M6 (F)_saline_old.0.8,2,F,saline,die,,,,,,,14.33333333,v1,6,,,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,
2015.08.07_F10_M2 (M)_saline.vacc_old.0.95,3,M,saline,die,2015.08.15 20:40,4.31,4.33,-0.02,-0.464037123,2015.08.16 09:00,12.33333333,v1,6,6,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
2015.08.07_F10_M3 (M)_saline.vacc_old.0.95,3,M,saline,die,2015.08.15 20:40,4.8,4.91,-0.11,-2.291666667,2015.08.16 09:00,12.33333333,v1,8,6,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
